sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543608;936187;1324;423000;1584543608;936187;-0; 0.24720328853243373;
1584543609;36895;1324;523753;1584543609;36895;-0; 0.24477387900880138;
1584543609;137507;1324;624292;1584543609;137507;-0; 0.1996935223004267;
1584543609;238095;1324;724883;1584543609;238095;-0; 0.19907397402074117;
1584543609;338764;1324;825556;1584543609;338764;-0; 0.19530911324424782;
1584543609;439555;1324;926358;1584543609;439555;-0; 0.18625944774385733;
1584543609;540235;1325;27030;1584543609;540235;-0; 0.18401243900424208;
1584543609;640862;1325;127659;1584543609;640862;-0; 0.2759097327722773;
1584543609;741663;1325;228463;1584543609;741663;-0; 0.1911262948035924;
1584543609;842335;1325;329138;1584543609;842335;-0; -0.002622695847295353;
1584543609;943036;1325;429835;1584543609;943036;-0; 0.29539664646764546;
1584543610;43733;1325;530531;1584543610;43733;-0; -0.011641239157678174;
1584543610;144589;1325;631500;1584543610;144589;-0; -0.04227309266983764;
1584543610;245481;1325;732352;1584543610;245481;-0.01199346; 0.2838776135852476;
1584543610;346382;1325;833274;1584543610;346382;-0.02398692; -0.0010550998761716945;
1584543610;447240;1325;934035;1584543610;447240;-0.0779708; -0.03300726869939624;
1584543610;547871;1326;34662;1584543610;547871;-0.0779708; -0.06788589726128563;
1584543610;648625;1326;135422;1584543610;648625;-0.1199524; 0.17421910321360817;
1584543610;749109;1326;235899;1584543610;749109;-0.1499404; 0.16993728151865556;
1584543610;849585;1326;336366;1584543610;849585;-0.1169518; 0.23222574543382318;
1584543610;950169;1326;436958;1584543610;950169;-0.04198155; 0.18027023104510775;
1584543611;50761;1326;537552;1584543611;50761;-0.02098634; 0.24096810336983493;
1584543611;151484;1326;638280;1584543611;151484;-0; 0.2695983965110908;
1584543611;252068;1326;738865;1584543611;252068;-0; 0.2595053280266107;
1584543611;352683;1326;839489;1584543611;352683;-0; -0.03579948695179391;
1584543611;453307;1326;940104;1584543611;453307;-0; 0.22121324106812673;
1584543611;553897;1327;40695;1584543611;553897;-0; 0.2858373613024991;
1584543611;654696;1327;141561;1584543611;654696;-0; 0.26534453221893844;
1584543611;755635;1327;242513;1584543611;755635;0.05698447; 0.25874963339875173;
1584543611;856373;1327;343155;1584543611;856373;0.05698447; -0.008655574394789534;
1584543611;956903;1327;443697;1584543611;956903;0.05698447; -0.007025802193037112;
1584543612;57394;1327;544185;1584543612;57394;0.07797969; -0.0018386272156961647;
1584543612;157913;1327;644724;1584543612;157913;0.07797969; 0.29171939691326615;
1584543612;258481;1327;745286;1584543612;258481;0.07797969; -0.007663191295739502;
1584543612;359154;1327;845982;1584543612;359154;0.07797969; -0.038302308354400516;
1584543612;459855;1327;946680;1584543612;459855;0.06298564; -0.0093479254514644;
1584543612;560828;1328;47905;1584543612;560828;0.06298564; 0.28559285249275507;
1584543612;660835;1328;147776;1584543612;660835;0.06298564; 0.27300467144764157;
1584543612;761629;1328;248450;1584543612;761629;0.06298564; 0.2593920267022149;
1584543612;862274;1328;349107;1584543612;862274;0.06298564; 0.24658281831536305;
1584543612;962934;1328;449766;1584543612;962934;0.06597735; -0.010595047819833947;
1584543613;63593;1328;550432;1584543613;63593;0.06597735; 0.289383934613824;
1584543613;164299;1328;651129;1584543613;164299;0.06597735; 0.2786057796057149;
1584543613;264959;1328;751775;1584543613;264959;0.06597735; 0.2654727518994375;
1584543613;365508;1328;852304;1584543613;365508;0.06597735; -0.013614953357226234;
1584543613;466046;1328;952851;1584543613;466046;0.06597735; 0.2895869425914585;
1584543613;566557;1329;53360;1584543613;566557;0.05998505; 0.27968951856730945;
1584543613;667128;1329;153933;1584543613;667128;0.05998505; 0.2684337821531882;
1584543613;767637;1329;254432;1584543613;767637;0.05998505; 0.2554386520033283;
1584543613;868228;1329;355041;1584543613;868228;0.05998505; 0.2986568439558894;
1584543613;968803;1329;455620;1584543613;968803;0.06298564; 0.29218943475241893;
1584543614;69371;1329;556179;1584543614;69371;0.09297372; 0.2646067020299521;
1584543614;169913;1329;656715;1584543614;169913;0.09297372; -0.00736698898896615;
1584543614;270522;1329;757353;1584543614;270522;0.08397198; 0.29860191298607613;
1584543614;371213;1329;858027;1584543614;371213;0.07197852; 0.28672263345576227;
1584543614;471732;1329;958530;1584543614;471732;0.06298564; 0.2580073860373618;
1584543614;572241;1330;59037;1584543614;572241;0.0749791; -0.00448910907695288;
1584543614;672770;1330;159570;1584543614;672770;0.1229618; 0.27888861763818323;
1584543614;773309;1330;260108;1584543614;773309;0.1529499; 0.25546980417756787;
1584543614;873855;1330;360656;1584543614;873855;0.06897793; -0.011622611565370755;
1584543614;974382;1330;461179;1584543614;974382;0.0239958; 0.29186267073387756;
1584543615;74994;1330;561785;1584543615;74994;0.0239958; 0.29033793139051306;
1584543615;175515;1330;662301;1584543615;175515;0.0239958; -0.007193432607928318;
1584543615;276088;1330;762912;1584543615;276088;0.02099521; 0.2726465958440964;
1584543615;376707;1330;863524;1584543615;376707;0.08097139; 0.2490805144004084;
1584543615;477323;1330;964147;1584543615;477323;0.1079678; -0.03797923357069555;
1584543615;577959;1331;64775;1584543615;577959;0.1349553; 0.29138129867713064;
1584543615;679077;1331;165866;1584543615;679077;0.1649434; 0.28546166533467926;
1584543615;781390;1331;268188;1584543615;781390;0.1709445; 0.23338843875692167;
1584543615;881900;1331;368692;1584543615;881900;0.1709445; -0.044657396850955766;
1584543615;982389;1331;469184;1584543615;982389;0.1709445; 0.27692104339642726;
1584543616;82885;1331;569687;1584543616;82885;0.1619428; 0.2638140279203736;
1584543616;183722;1331;670619;1584543616;183722;0.02099521; 0.25762675262772333;
1584543616;284393;1331;771181;1584543616;284393;-0; 0.2498487370408647;
1584543616;384917;1331;871704;1584543616;384917;-0; 0.24432750714681334;
1584543616;485433;1331;972225;1584543616;485433;-0; 0.2545506790402939;
1584543616;585973;1332;72766;1584543616;585973;-0.1409476; 0.2937281894650831;
1584543616;686495;1332;173296;1584543616;686495;-0.290888; 0.20371038239007405;
1584543616;787027;1332;273830;1584543616;787027;-0.290888; 0.2047709859086842;
1584543616;887561;1332;374358;1584543616;887561;-0; -0.009664677893950091;
1584543616;988038;1332;474835;1584543616;988038;-0; 0.2808807670825781;
1584543617;88492;1332;575289;1584543617;88492;-0; -0.056641284073687875;
1584543617;188978;1332;675787;1584543617;188978;-0; -0.0578740508722107;
1584543617;289508;1332;776324;1584543617;289508;-0; 0.2842905041401183;
1584543617;390036;1332;876852;1584543617;390036;0.08397198; 0.22636746711284556;
1584543617;490556;1332;977374;1584543617;490556;0.1109684; 0.2748036930660546;
1584543617;591183;1333;77989;1584543617;591183;-0; 0.27873592911709116;
1584543617;692352;1333;179242;1584543617;692352;-0; -0.008768098358371557;
1584543617;792067;1333;278902;1584543617;792067;-0; 0.2458330569005473;
1584543617;892659;1333;379481;1584543617;892659;-0; -0.019296661172344076;
1584543617;993179;1333;479984;1584543617;993179;-0.1859297; 0.17044307632230477;
1584543618;93662;1333;580464;1584543618;93662;-0.1229529; -0.006047577903388224;
1584543618;194185;1333;680998;1584543618;194185;-0; 0.2923059004006949;
1584543618;294798;1333;781630;1584543618;294798;-0; 0.18008110105745995;
1584543618;395611;1333;882528;1584543618;395611;-0; 0.2679153458607771;
1584543618;496380;1333;983214;1584543618;496380;-0; 0.19969198678790084;
1584543618;597037;1334;83875;1584543618;597037;0.1559505; -0.03134485209411325;
1584543618;697666;1334;184498;1584543618;697666;0.281904; -0.0013806517264547402;
1584543618;798212;1334;284996;1584543618;798212;-0; 0.17532121056929467;
1584543618;898687;1334;385472;1584543618;898687;-0; -0.1061283639119556;
1584543618;999224;1334;486059;1584543618;999224;-0; -0.04754584218854674;
1584543619;99870;1334;586710;1584543619;99870;-0; 0.23917003653125463;
1584543619;200760;1334;687649;1584543619;200760;-0.1979232; 0.2710448166449218;
1584543619;301682;1334;788513;1584543619;301682;-0; 0.2910662489850035;
1584543619;402337;1334;889132;1584543619;402337;-0; -0.005039787906515547;
1584543619;502915;1334;989739;1584543619;502915;-0; -0.19835554595115396;
1584543619;603536;1335;90369;1584543619;603536;-0; 0.21063271471191908;
1584543619;704129;1335;190922;1584543619;704129;0.1319547; 0.19770974207336772;
1584543619;804676;1335;291478;1584543619;804676;0.143957; 0.1732634315888354;
1584543619;905162;1335;391956;1584543619;905162;0.06298564; 0.2521727710037562;
1584543620;5700;1335;492509;1584543620;5700;-0; 0.280295737134808;
1584543620;106215;1335;593007;1584543620;106215;-0; 0.28188318537730955;
1584543620;206787;1335;693585;1584543620;206787;-0; 0.26707692424237156;
1584543620;307264;1335;794053;1584543620;307264;-0; 0.2828849549746489;
1584543620;407725;1335;894518;1584543620;407725;-0; 0.2703388990349966;
1584543620;508195;1335;994983;1584543620;508195;0.1469487; 0.27808172006089366;
1584543620;608661;1336;95448;1584543620;608661;0.1769457; -0.01102035258052464;
1584543620;709129;1336;195928;1584543620;709129;0.1769457; 0.23631755541058003;
1584543620;809657;1336;296467;1584543620;809657;0.1739451; 0.23206055832234934;
1584543620;910203;1336;397067;1584543620;910203;0.1709445; 0.2530137383466354;
1584543621;10800;1336;497619;1584543621;10800;0.1469487; -0.040380960174596525;
