                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0131,                0.83089,                0.88186,                      1,                0.86329,                0.92441,                0.65793,                 1.0485,                 1.9084,                0.91326,             0.00022222,             0.00022222,             0.00022222
                     36,                 1.0809,                0.74148,                0.91023,                      1,                0.86329,                0.92441,                0.65793,                 1.0485,                 1.9084,                0.91326,              0.0002149,              0.0002149,              0.0002149
                     37,                 1.0225,                0.78693,                0.84678,                0.95372,                    0.8,                0.88631,                0.64888,                 1.0372,                 2.0977,                0.90708,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.1623,                0.81102,                0.94096,                0.95372,                    0.8,                0.88631,                0.64888,                 1.0372,                 2.0977,                0.90708,             0.00019788,             0.00019788,             0.00019788
                     39,                  1.163,                0.89088,                0.88541,                0.89942,                0.89479,                0.91726,                0.64127,                 1.0493,                  1.505,                0.90034,             0.00018818,             0.00018818,             0.00018818
                     40,                 1.0632,                0.88125,                0.95193,                0.89942,                0.89479,                0.91726,                0.64127,                 1.0493,                  1.505,                0.90034,             0.00017768,             0.00017768,             0.00017768
                     41,                  1.107,                 0.7374,                0.95262,                0.89959,                0.89635,                0.91346,                0.66139,                 1.0353,                 1.2507,                0.89036,              0.0001664,              0.0001664,              0.0001664
                     42,                0.92938,                0.74314,                0.92208,                0.89959,                0.89635,                0.91346,                0.66139,                 1.0353,                 1.2507,                0.89036,             0.00015432,             0.00015432,             0.00015432
                     43,                 1.1385,                0.85176,                0.96869,                0.89408,                    0.9,                0.93056,                0.69967,                 1.0232,                 1.1555,                0.89168,             0.00014146,             0.00014146,             0.00014146
                     44,                0.97382,                0.74062,                 0.8768,                0.89408,                    0.9,                0.93056,                0.69967,                 1.0232,                 1.1555,                0.89168,              0.0001278,              0.0001278,              0.0001278
                     45,                0.96386,                0.85671,                 0.9178,                0.89258,                    0.9,                0.96833,                0.71905,                 1.0284,                 1.0737,                0.89778,             0.00011334,             0.00011334,             0.00011334
                     46,                0.90796,                0.72929,                0.88862,                0.89258,                    0.9,                0.96833,                0.71905,                 1.0284,                 1.0737,                0.89778,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.93532,                0.70968,                0.87986,                0.81863,                      1,                0.96833,                0.71905,                 1.0377,                 1.0411,                0.90353,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.87132,                0.71396,                0.83621,                0.81863,                      1,                0.96833,                0.71905,                 1.0377,                 1.0411,                0.90353,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.89605,                0.71928,                0.91905,                 0.9721,                    0.8,                0.95643,                0.71429,                 1.0483,                 1.0568,                0.90595,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.90425,                0.72684,                0.87692,                 0.9721,                    0.8,                0.95643,                0.71429,                 1.0483,                 1.0568,                0.90595,             2.9204e-05,             2.9204e-05,             2.9204e-05
